,importance
type_size_sedan_3,1.7013884767713705e-07
manufacturer_type_buick_sedan,0.0
yearperfuel,3.4837478053717508e-06
type_size_coupe_3,5.7682298049144265e-08
state_tx,1.554550088656015e-08
manufacturer_type_ford_truck,1.075820191487331e-06
manufacturer_type_ford_van,0.0
manufacturer_type_chevrolet_coupe,0.0
type_mini-van,0.0
condition_fair,1.3982941965196005e-05
type_truck,9.60250457093803e-07
type_size_pickup_4,5.665131239673826e-07
manufacturer_honda,0.0
manufacturer_jeep,8.110710147946065e-08
type_size_coupe_2,0.0
yearpertype,1.1054271933319537e-05
odometerpermanufacturer,8.578599665853837e-06
"region_washington, dc",3.781870105967755e-08
type_size_truck_4,7.129387851190216e-07
manufacturer_subaru,0.0
manufacturer_dodge,4.080479953927352e-08
manufacturer_type_volkswagen_sedan,0.0
manufacturer_type_hyundai_sedan,0.0
condition_salvage,0.0
type_hatchback,0.0
type_size_sedan_2,0.0
type_convertible,0.0
state_va,6.044429845530885e-08
odometerperdrive,1.0802410082333402e-05
region_tucson,0.0
manufacturer_mercury,0.0
state_pa,1.7297400844995536e-08
region_richmond,0.0
manufacturer_type_nissan_sedan,0.0
type_pickup,6.014751002814123e-07
manufacturer_type_buick_SUV,0.0
region_albany,0.0
type_van,0.0
manufacturer_type_mazda_sedan,0.0
type_sedan,1.0191777716772599e-06
fuel_gas,1.1195643607742056e-06
odometerpertransmission,1.7038591081605138e-05
manufacturer_type_ford_sedan,3.1200301009448594e-08
yearperdrive,3.588419616673555e-06
manufacturer_volkswagen,0.0
manufacturer_ford,5.157354879825604e-07
cylinders,2.2149648110092457e-06
type_size_SUV_4,3.281402785049181e-07
state_fl,4.313799983890476e-08
manufacturer_audi,0.0
type_size_pickup_3,0.0
manufacturer_hyundai,0.0
region_new york city,0.0
is_sedan,1.3339419790980855e-07
is_rebuilt,4.860490054880984e-08
paint_color_black,1.165412851333869e-06
condition_score,1.4673023045697065e-05
type_size_hatchback_3,0.0
manufacturer_type_ford_coupe,0.0
is_fwd,1.1729085422906849e-06
yearpertransmission,4.746131244460529e-06
year,3.556091796586003e-06
manufacturer_type_ram_truck,1.1589655115606945e-06
manufacturer_type_bmw_SUV,9.649140153555891e-08
manufacturer_type_ford_pickup,1.925271018166086e-07
region_boise,0.0
state_wa,7.616629993378865e-08
region_norfolk / hampton roads,0.0
condition_excellent,1.1165591004003161e-06
manufacturer_ram,2.25870510250914e-06
manufacturer_type_toyota_sedan,0.0
transmission_other,1.7266799545723188e-08
manufacturer_type_chevrolet_pickup,0.0
manufacturer_type_honda_sedan,0.0
state_oh,0.0
is_silver,1.4725850849828248e-07
state_ga,0.0
paint_color_white,1.2142021295069583e-06
title_status_score,3.267609066104349e-07
drive_4wd,1.5282445446906934e-06
manufacturer_type_kia_sedan,0.0
manufacturer_toyota,9.974688985892044e-07
type_size_truck_3,0.0
region_north jersey,0.0
state_mn,0.0
state_ia,0.0
type_size_coupe_4,0.0
state_wi,3.91402998900503e-08
paint_color_grey,1.4929799618812467e-08
title_status_rebuilt,1.6018424853214697e-07
odometer-inverse,4.704116296250747e-06
manufacturer_nissan,0.0
transmission_manual,1.1368740082673412e-07
yearpermanufacturer,8.210680547682259e-06
region_los angeles,0.0
odometer,5.481013617916579e-06
state_ok,0.0
state_tn,0.0
region_las vegas,5.541959957611198e-08
condition_like new,2.2458870674313403e-07
odometerperfuel,1.3983604223097301e-05
transmission_automatic,8.710809487055826e-07
odometerpertype,9.05850465426905e-06
log-odmeter,1.947804932012076e-06
manufacturer_type_chevrolet_SUV,1.10484004167688e-08
is_excellent,7.729116879851006e-07
manufacturer_type_subaru_SUV,0.0
fuel_diesel,1.593989757853187e-06
state_nm,0.0
type_SUV,8.793400562076559e-07
type_size_hatchback_2,0.0
paint_color_silver,1.0981416131983224e-07
state_il,0.0
paint_color_red,4.787350071921992e-08
region_rochester,0.0
is_gas,8.738461121371444e-07
state_az,0.0
state_or,0.0
manufacturer_type_ford_SUV,1.568278005237289e-07
state_nv,2.3417999983621485e-08
manufacturer_bmw,3.436437481241228e-07
paint_color_brown,0.0
state_ny,2.6239647876735717e-07
manufacturer_mazda,0.0
paint_color_blue,1.2606680854787555e-07
manufacturer_type_chevrolet_sedan,3.1887900320271e-08
paint_color_green,0.0
condition_good,3.028220794121239e-06
manufacturer_type_audi_sedan,0.0
manufacturer_type_bmw_sedan,1.733480026189227e-08
manufacturer_type_honda_SUV,0.0
type_coupe,4.428876927420333e-07
type_size_SUV_3,8.600234746580782e-08
manufacturer_kia,0.0
truck_diesel,5.573122234814321e-07
odometerpercar-age,1.0547813518863025e-05
title_status_salvage,0.0
drive_fwd,5.227141031127758e-07
type_size_van_4,0.0
car-age-inverse,1.139743682543326e-06
state_nj,2.9623860164917915e-07
region_pittsburgh,0.0
state_ca,1.1094170027092787e-07
type_size_sedan_4,0.0
manufacturer_chevrolet,2.5470431053165044e-07
drive_rwd,1.7924817274916904e-07
is_automatic,3.902553031842615e-07
type_size_mini-van_4,0.0
