,importance
type_size_sedan_3,0.00018151682127864888
manufacturer_type_buick_sedan,1.2419571927324569e-05
yearperfuel,0.0022941404831087198
type_size_coupe_3,4.820581673214974e-05
state_tx,2.2266831336992254e-05
manufacturer_type_ford_truck,3.607677135875065e-05
manufacturer_type_ford_van,6.251740103380143e-08
manufacturer_type_chevrolet_coupe,6.708312980663322e-07
type_mini-van,0.00022420727068350743
condition_fair,0.0017899207389682203
type_truck,7.653724632916692e-05
type_size_pickup_4,1.982730064398197e-05
manufacturer_honda,0.0001386967815086848
manufacturer_jeep,1.6978352434193766e-05
type_size_coupe_2,4.522718477062426e-05
yearpertype,0.004133212043811341
odometerpermanufacturer,0.003614657622385664
"region_washington, dc",2.6503612488681938e-05
type_size_truck_4,3.8105901701612765e-05
manufacturer_subaru,0.00012068587285796184
manufacturer_dodge,1.854645575249947e-05
manufacturer_type_volkswagen_sedan,3.139863815349031e-05
manufacturer_type_hyundai_sedan,0.00012934665704023018
condition_salvage,4.169304112622285e-06
type_hatchback,2.604781876058837e-05
type_size_sedan_2,0.0003725917787313904
type_convertible,9.980028497835747e-06
state_va,1.0605802327035008e-05
odometerperdrive,0.0037601828655198233
region_tucson,0.0
manufacturer_mercury,4.240437721136914e-05
state_pa,9.082392421078112e-05
region_richmond,3.845947986746978e-07
manufacturer_type_nissan_sedan,2.4838601468957222e-05
type_pickup,1.5205059909817464e-05
manufacturer_type_buick_SUV,3.993799992940694e-07
region_albany,4.225709335159422e-05
type_van,8.202100310938931e-05
manufacturer_type_mazda_sedan,2.1505999825421895e-07
type_sedan,0.0003378386103918274
fuel_gas,0.00012007089603827126
odometerpertransmission,0.0027182855464822353
manufacturer_type_ford_sedan,1.4079853613679916e-05
yearperdrive,0.0030612079025331695
manufacturer_volkswagen,6.903554093184994e-05
manufacturer_ford,9.063875779347086e-05
cylinders,0.0009258021216247414
type_size_SUV_4,7.082573323557995e-05
state_fl,4.728025954037207e-05
manufacturer_audi,8.573384423371522e-05
type_size_pickup_3,0.0
manufacturer_hyundai,0.00016365049920352703
region_new york city,8.521830352492543e-08
is_sedan,0.000192646981460598
is_rebuilt,0.000142036807279311
paint_color_black,0.000194231731015293
condition_score,0.002692704458699069
type_size_hatchback_3,2.0270020456791826e-05
manufacturer_type_ford_coupe,3.1467606657287206e-05
is_fwd,0.0009644222528031321
yearpertransmission,0.002259604242574653
year,0.0014907615621311265
manufacturer_type_ram_truck,6.90139602426143e-05
manufacturer_type_bmw_SUV,5.482515533117294e-05
manufacturer_type_ford_pickup,3.577916892538724e-06
region_boise,0.0
state_wa,1.3167753763809742e-05
region_norfolk / hampton roads,1.8629784364065927e-06
condition_excellent,0.0007364331553212367
manufacturer_ram,9.744072283268679e-05
manufacturer_type_toyota_sedan,2.5062556659349866e-05
transmission_other,3.820724260705788e-05
manufacturer_type_chevrolet_pickup,2.8889148069310977e-05
manufacturer_type_honda_sedan,0.00012792664093908002
state_oh,4.148055995045752e-05
is_silver,0.00041865791688877607
state_ga,6.225201047982409e-07
paint_color_white,0.0002243217395871966
title_status_score,0.0005598627714356041
drive_4wd,0.0007186123175699777
