,importance
odometerpertype,0.0011641281950196536
condition_score,0.0009401082675233319
odometer,0.0007115740709613405
odometer-inverse,0.0006043281619976248
condition_fair,0.0005906956709251787
odometerperdrive,0.0005638343994508466
yearpermanufacturer,0.0005144598593213312
yearpertype,0.000386746355838255
yearperdrive,0.00037013147821018944
is_fwd,0.00035422244828708926
year,0.00031033630831522885
paint_color_green,0.00030158969351834486
drive_4wd,0.00027178988033460527
log-odmeter,0.0002708337982235687
odometerperfuel,0.00023141628112707813
is_excellent,0.00022656215972904903
odometerpercar-age,0.00020639241633854666
car-age-inverse,0.00019997459149734276
yearperfuel,0.0001992224212766791
drive_fwd,0.0001947808632056791
odometerpertransmission,0.00017222586883303137
condition_excellent,0.00012598165819710516
odometerpermanufacturer,9.741312178368489e-05
yearpertransmission,9.516786333896299e-05
cylinders,5.8446893609787054e-05
fuel_diesel,4.9449206547258484e-05
is_sedan,4.611824347833249e-05
paint_color_white,3.7050709432939755e-05
title_status_score,3.5938000402774284e-05
is_gas,2.7962913277335133e-05
paint_color_black,2.7358320448644946e-05
type_sedan,2.732056403015326e-05
type_SUV,2.6256679210412415e-05
paint_color_blue,2.4003284694096294e-05
state_nm,2.3731071779664603e-05
is_silver,2.239432445705347e-05
condition_good,1.883197130814196e-05
paint_color_silver,1.5883509163039378e-05
manufacturer_chevrolet,1.461707168459725e-05
type_size_sedan_2,1.3485039914939989e-05
fuel_gas,1.3245479147272476e-05
manufacturer_ram,1.021407919465922e-05
transmission_manual,1.0121137043794803e-05
manufacturer_ford,9.943987519633879e-06
manufacturer_type_honda_sedan,9.81959947310429e-06
type_truck,9.72565195045405e-06
manufacturer_mercury,9.490169579962071e-06
is_rebuilt,8.670536541188767e-06
state_ny,7.803397050309968e-06
type_size_truck_4,7.1456173462713934e-06
type_coupe,6.4337662424307496e-06
is_automatic,6.109538373877399e-06
manufacturer_honda,5.1995557113215796e-06
type_size_sedan_3,4.811004269633656e-06
truck_diesel,4.711371996535263e-06
type_size_sedan_4,4.696417091665239e-06
title_status_rebuilt,4.659787513183744e-06
condition_like new,4.4729077917082805e-06
manufacturer_kia,4.097965008664772e-06
paint_color_grey,3.838789516485974e-06
transmission_automatic,3.808069486410659e-06
state_nj,3.691592924681686e-06
manufacturer_toyota,3.6468348056928335e-06
type_pickup,3.3420262524896938e-06
state_il,3.2166227699192973e-06
type_size_SUV_4,3.040855789393504e-06
manufacturer_volkswagen,3.0396486643269327e-06
type_size_hatchback_2,3.0350698394521203e-06
type_size_SUV_3,2.9813306960946306e-06
type_van,2.904740952658358e-06
manufacturer_type_ram_truck,2.700545923772779e-06
type_mini-van,2.4412638950366272e-06
condition_salvage,2.3779219038289057e-06
manufacturer_type_nissan_sedan,1.7709724646763902e-06
title_status_salvage,1.6698721108099335e-06
manufacturer_type_hyundai_sedan,1.5095741066062374e-06
manufacturer_audi,1.4917051592844288e-06
drive_rwd,1.4651614188565532e-06
manufacturer_jeep,1.4551019749120542e-06
state_pa,1.417040004447756e-06
state_ca,1.3890740320210426e-06
manufacturer_type_bmw_SUV,1.3359601558349254e-06
type_size_hatchback_3,1.2382869023497278e-06
manufacturer_mazda,1.0897280020571998e-06
manufacturer_bmw,1.0794947211678618e-06
state_fl,1.041159904957567e-06
paint_color_brown,1.0232193794479372e-06
paint_color_red,1.0118670852321543e-06
manufacturer_type_volkswagen_sedan,9.998388961207638e-07
manufacturer_type_ford_SUV,9.95661794789271e-07
manufacturer_type_ford_coupe,8.853893973537197e-07
manufacturer_type_bmw_sedan,8.489170069125862e-07
type_size_coupe_2,8.157852953161182e-07
type_size_coupe_4,7.978874041469908e-07
state_tx,7.978762912586035e-07
manufacturer_subaru,6.343600009728334e-07
manufacturer_hyundai,5.840037999860215e-07
type_size_pickup_4,5.152679989350872e-07
type_hatchback,5.070915065630288e-07
state_oh,4.754406983664694e-07
type_size_mini-van_4,4.0479240404067696e-07
region_albany,3.971913020706097e-07
type_size_coupe_3,3.8863109530495876e-07
manufacturer_type_chevrolet_sedan,3.60817194788865e-07
manufacturer_type_chevrolet_SUV,3.42504895556317e-07
state_ia,2.989736476166627e-07
