,importance
state_tn,1.1749690962403747e-06
cylinders,0.0005307603352101009
manufacturer_type_ford_sedan,5.904878841000993e-06
region_albany,5.343301198612593e-06
state_wa,2.7062330421046e-06
state_oh,4.950925580837762e-06
manufacturer_type_chevrolet_sedan,4.9164332600604155e-06
manufacturer_type_subaru_SUV,0.0
paint_color_grey,5.19070002280575e-05
type_size_coupe_2,9.686581175838427e-06
odometerperfuel,0.0016722795825458922
state_az,2.602072007640288e-06
manufacturer_nissan,3.366792448389333e-06
manufacturer_type_nissan_sedan,7.881894350525442e-06
is_fwd,0.0013649673192608347
drive_4wd,0.0009809018648425094
manufacturer_chevrolet,0.0001471390468769096
manufacturer_dodge,8.992428046639134e-07
manufacturer_type_buick_sedan,8.514570115636388e-08
type_size_sedan_3,6.872389798551204e-05
manufacturer_ford,8.956578486385425e-05
transmission_other,1.7002086174500164e-06
type_size_hatchback_2,2.2569536226813014e-05
state_ok,1.8979099181137826e-08
manufacturer_type_volkswagen_sedan,4.190220270317013e-06
yearperfuel,0.0013191269241774025
"region_washington, dc",5.604685938687126e-06
region_boise,5.837040006895222e-08
manufacturer_mercury,9.021279508303337e-05
manufacturer_type_chevrolet_pickup,3.3573950002363517e-06
type_size_van_4,1.9608866033138384e-06
state_pa,1.604486855555365e-05
state_va,1.3336679671738239e-07
type_van,3.286363222798627e-05
manufacturer_type_chevrolet_coupe,4.734732095279526e-07
paint_color_white,0.0003401975044015765
type_size_sedan_4,2.7298142937226544e-05
year,0.001291053618273568
fuel_diesel,0.00034783700774421167
manufacturer_mazda,3.7191668873504113e-06
region_los angeles,1.88495234354491e-06
car-age-inverse,0.0006893561792734176
condition_salvage,2.450995660652211e-05
manufacturer_volkswagen,8.90659965691043e-06
manufacturer_type_ford_coupe,6.85452268456288e-06
paint_color_black,0.0002039579486322607
manufacturer_type_mazda_sedan,1.1070469874141509e-07
manufacturer_honda,5.626207581799214e-05
is_excellent,0.0005904697091744793
state_nm,0.0002443006938213088
manufacturer_type_kia_sedan,5.365895242803731e-06
type_size_truck_4,4.2692333651062064e-05
state_ia,4.322020229707846e-06
type_convertible,2.748026390886338e-06
region_tucson,1.0782000181563944e-07
condition_excellent,0.00035983403147565873
transmission_automatic,6.139076560662815e-05
is_silver,0.00024657424930879523
fuel_gas,0.0001063297255233242
odometerpercar-age,0.002022737746654804
condition_like new,2.9375779475593333e-05
type_size_pickup_3,0.0
state_tx,5.558974052632948e-06
manufacturer_audi,1.3010918743450173e-05
title_status_salvage,1.4677381710903603e-05
odometerpermanufacturer,0.0012005214049201664
manufacturer_type_toyota_sedan,1.110530504000451e-06
state_mn,3.5538593032846677e-06
region_richmond,3.12978099437089e-07
manufacturer_type_ford_van,4.895886025479967e-07
manufacturer_type_ram_truck,1.8613221292040905e-05
region_north jersey,5.136501997071719e-07
manufacturer_toyota,2.819193086356364e-05
state_nv,2.408126693609347e-07
type_truck,8.10098001631232e-05
manufacturer_type_ford_truck,1.4628059803456495e-06
truck_diesel,3.1847569308407486e-05
region_pittsburgh,6.383169992574267e-08
odometerpertype,0.0042167495478563025
region_new york city,1.3431200152069778e-08
state_nj,6.522422604682276e-05
manufacturer_type_chevrolet_SUV,2.0828045630416625e-06
paint_color_silver,0.00013803437527259987
type_size_coupe_4,1.4288613317425813e-05
title_status_rebuilt,7.901452315040025e-05
state_il,2.8105144039392016e-05
paint_color_blue,0.00023911682767430165
is_automatic,3.082503581941509e-05
is_gas,6.04158104278163e-05
type_size_hatchback_3,1.0191818315963275e-05
type_size_SUV_4,3.571723614292921e-05
manufacturer_ram,0.00010211172047358552
manufacturer_type_hyundai_sedan,7.527458301126444e-06
manufacturer_hyundai,2.9530496945540108e-06
yearperdrive,0.0016625851240096585
type_coupe,6.47061359083656e-05
region_rochester,3.5884360634064194e-06
condition_good,0.00011212869519983126
state_ca,1.8106224453778852e-05
odometer-inverse,0.002482455310535958
manufacturer_jeep,3.098405133772353e-05
type_hatchback,2.33651359593523e-06
type_size_SUV_3,3.714291577572304e-05
type_size_sedan_2,8.757797838543357e-05
title_status_score,0.00032683759354234317
paint_color_red,1.7114014783400347e-05
condition_score,0.004720642682547516
manufacturer_type_ford_pickup,3.6439011970035295e-06
manufacturer_subaru,4.893683092532797e-06
type_sedan,0.00027072746788991964
paint_color_brown,5.81602147442517e-06
is_rebuilt,4.530710457650855e-05
manufacturer_type_bmw_sedan,7.060353396148855e-06
yearpertransmission,0.0008601469881442027
manufacturer_type_ford_SUV,1.8310976702018422e-05
state_wi,4.129719980205948e-06
region_las vegas,4.945468230488359e-07
paint_color_green,0.0020972416220506607
manufacturer_type_bmw_SUV,1.442239541060708e-05
drive_rwd,9.131823539787476e-06
yearpermanufacturer,0.0027643980399568724
odometer,0.0024327532307817958
state_fl,2.0223868536728418e-05
type_size_mini-van_4,4.328461860936272e-06
log-odmeter,0.0012033218333606238
manufacturer_kia,3.230136662468741e-05
is_sedan,0.0001581740097265083
state_ga,2.34425503009561e-07
odometerpertransmission,0.0010943881936397782
type_size_truck_3,8.960419961567823e-08
manufacturer_type_buick_SUV,1.922670023191131e-07
type_pickup,4.003165452870494e-05
manufacturer_bmw,6.801279693213758e-06
type_size_coupe_3,6.334760492610059e-06
odometerperdrive,0.0030241972185372015
drive_fwd,0.0008213592608492526
type_SUV,0.00023020029557851984
transmission_manual,0.00012227456509383838
manufacturer_type_honda_SUV,3.1767392014714346e-06
region_norfolk / hampton roads,2.1077729961405112e-07
yearpertype,0.0022404552637802465
state_ny,8.701737810157262e-05
condition_fair,0.002127969484201131
type_size_pickup_4,8.445493466346932e-06
type_mini-van,2.4675018170938756e-05
manufacturer_type_honda_sedan,9.988084631729066e-05
state_or,1.8755157082939178e-06
manufacturer_type_audi_sedan,1.6433520144687463e-07
